material,species,r0_bohr,sigma_peak_bohr,fit_c2,fit_R2,number_of_fit_points,fit_window_threshold,status
Si,Si,1.454,0.7912,-0.7986,0.9722,52,0.80,ok
C,C,0.658,0.4586,-2.3770,0.9639,28,0.80,ok
AlAs,Al,0.000,0.6554,-1.1642,0.9909,27,0.80,ok
AlAs,As,1.361,0.6909,-1.0475,0.9962,46,0.80,ok
MgO,Mg,0.367,0.5969,-1.4033,0.8849,33,0.80,ok
MgO,O,0.510,0.3006,-5.5318,0.9923,19,0.80,ok
LiCl,Li,0.000,0.3622,-3.8117,1.0000,12,0.80,ok
LiCl,Cl,0.912,0.5663,-1.5591,0.9995,37,0.80,ok
NaCl,Na,0.464,0.4348,-2.6444,0.9797,29,0.80,ok
NaCl,Cl,0.908,0.5664,-1.5588,0.9995,37,0.80,ok
CaF2,Ca,0.670,0.4258,-2.7579,0.9993,28,0.80,ok
CaF2,F,0.467,0.3002,-5.5499,0.9978,19,0.80,ok
LiF,Li,0.000,0.3594,-3.8702,1.0000,12,0.80,ok
LiF,F,0.485,0.2995,-5.5741,0.9978,19,0.80,ok
