material,active_species,r0_bohr,sigma_peak_bohr,fit_c2,fit_R2,A,mu_bohr^-1,kappa,q_peak_bohr^-1,q_peak/mu,B_kappa,finiteG_a0p5_bexx,qcloud_eta0p5_bexx,RS-DDH_bexx,status
Si,Si,1.454,0.7912,-0.7986,0.9722,0.0913,0.6571,0.25,0.3160,0.481,0.1423,0.1464,0.1234,0.2500,ok
Si,Si,1.454,0.7912,-0.7986,0.9722,0.0913,0.6571,0.35,0.4423,0.673,0.1886,0.1464,0.1234,0.2500,ok
Si,Si,1.454,0.7912,-0.7986,0.9722,0.0913,0.6571,0.50,0.6319,0.962,0.2789,0.1464,0.1234,0.2500,ok
C,C,0.658,0.4586,-2.3770,0.9639,0.1850,0.9006,0.25,0.5451,0.605,0.2564,0.2344,0.2204,0.2500,ok
C,C,0.658,0.4586,-2.3770,0.9639,0.1850,0.9006,0.35,0.7631,0.847,0.3189,0.2344,0.2204,0.2500,ok
C,C,0.658,0.4586,-2.3770,0.9639,0.1850,0.9006,0.50,1.0902,1.210,0.4350,0.2344,0.2204,0.2500,ok
AlAs,As,1.361,0.6909,-1.0475,0.9962,0.1246,0.6054,0.25,0.3618,0.598,0.1994,0.1776,0.1772,0.2500,ok
AlAs,As,1.361,0.6909,-1.0475,0.9962,0.1246,0.6054,0.35,0.5066,0.837,0.2652,0.1776,0.1772,0.2500,ok
AlAs,As,1.361,0.6909,-1.0475,0.9962,0.1246,0.6054,0.50,0.7237,1.195,0.3876,0.1776,0.1772,0.2500,ok
MgO,O,0.510,0.3006,-5.5318,0.9923,0.3235,0.7258,0.25,0.8315,1.146,0.5127,0.3644,0.3747,0.2500,ok
MgO,O,0.510,0.3006,-5.5318,0.9923,0.3235,0.7258,0.35,1.1642,1.604,0.6444,0.3644,0.3747,0.2500,ok
MgO,O,0.510,0.3006,-5.5318,0.9923,0.3235,0.7258,0.50,1.6631,2.291,0.8179,0.3644,0.3747,0.2500,ok
LiCl,Cl,0.912,0.5663,-1.5591,0.9995,0.3365,0.6330,0.25,0.4415,0.697,0.4125,0.3767,0.3695,0.2500,ok
LiCl,Cl,0.912,0.5663,-1.5591,0.9995,0.3365,0.6330,0.35,0.6180,0.976,0.4772,0.3767,0.3695,0.2500,ok
LiCl,Cl,0.912,0.5663,-1.5591,0.9995,0.3365,0.6330,0.50,0.8829,1.395,0.5921,0.3767,0.3695,0.2500,ok
NaCl,Cl,0.908,0.5664,-1.5588,0.9995,0.3953,0.5938,0.25,0.4414,0.743,0.4733,0.4320,0.4339,0.2500,ok
NaCl,Cl,0.908,0.5664,-1.5588,0.9995,0.3953,0.5938,0.35,0.6180,1.041,0.5388,0.4320,0.4339,0.2500,ok
NaCl,Cl,0.908,0.5664,-1.5588,0.9995,0.3953,0.5938,0.50,0.8828,1.487,0.6520,0.4320,0.4339,0.2500,ok
CaF2,F,0.467,0.3002,-5.5499,0.9978,0.4435,0.7135,0.25,0.8329,1.167,0.6042,0.4772,0.4773,0.2500,ok
CaF2,F,0.467,0.3002,-5.5499,0.9978,0.4435,0.7135,0.35,1.1661,1.634,0.7146,0.4772,0.4773,0.2500,ok
CaF2,F,0.467,0.3002,-5.5499,0.9978,0.4435,0.7135,0.50,1.6658,2.335,0.8575,0.4772,0.4773,0.2500,ok
LiF,F,0.485,0.2995,-5.5741,0.9978,0.4899,0.7250,0.25,0.8347,1.151,0.6338,0.5208,0.5208,0.2500,ok
LiF,F,0.485,0.2995,-5.5741,0.9978,0.4899,0.7250,0.35,1.1686,1.612,0.7336,0.5208,0.5208,0.2500,ok
LiF,F,0.485,0.2995,-5.5741,0.9978,0.4899,0.7250,0.50,1.6694,2.303,0.8645,0.5208,0.5208,0.2500,ok
